"ID","_id","text","count","str_id"
"[32853,20481571]",841429987911708673,"#ginecologista em Sete Lagoas, Gestantes e Adolescentes aconselhamentos sobre o virus ZICA - 3773-3299 - Fale c/ # https://t.co/tokOkjUmSt",94,"841429987911708673"
"[32853,20481572]",855802571252006914,"@ArvindKejriwal @Mamta_Sharma_ @AmitShah @SrBachchan bjp ko voylte diya to dengue...Aur agar sir jee ko vote diya to AIDS aur CANCER.",95,"855802571252006914"
"[32853,20481573]",708043277707124736,"RT @DiarioPE: OMS examina novos casos de transmissao sexual do virus zika https://t.co/d5JUAagkNn",96,"708043277707124736"
"[32853,20481574]",704676921225904130,"@folhanobre1  Ver Twi  @DeusesCiencias:  O AEDES AEGYPTI causa DENGUE HEMORRAGICA, ZIKA, MICROCEFALIA.   DEUSES INEXISTENTES NADA FAZEM",97,"704676921225904130"
"[32853,20481575]",704759342457688064,"Nova caderneta da gestante orienta sobre prevencao contra Aedes aegypti https://t.co/9IrjYNiQdb",98,"704759342457688064"
"[32853,20481576]",844149366604550144,"Portal O Dia Palmeirais tem dia de combate ao mosquito da dengue Portal O Dia Uma serie de mutiroes de combate a https://t.co/tK7t6yUFbT",99,"844149366604550144"
"[32853,20481577]",716598445159686145,"@Tanya_Dz Tens dele avisa Acores @Miguel_Miraldo Canada que nao Andreia mota veia esta merda e o Bazofias vai nessa Zika Ebola Cristo Syria?",100,"716598445159686145"
"[32853,20481578]",848958290394468356,"Faca a sua parte contra o #MosquitoAedes e ajude a acabar com a #Zika, virus que pode provocar a microcefalia: https://t.co/F6VZbD4Mx5",101,"848958290394468356"
"[32853,20481579]",990286194801037317,"@blessthepeitos valeu livinha, tudo em dobro pra vc, tu e zika muie &lt;3",102,"990286194801037317"
"[32853,20481580]",713783609145081856,"RT @OGlobo_Rio: Chile tem primeiro caso de transmissao sexual de zika https://t.co/pwxOqv50tD https://t.co/m7dy73fw1O",103,"713783609145081856"
"[32853,20481581]",709514873508462592,"OMS e ""prudente"" sobre possivel ligacao de zika e microcefalia, diz ministro: O ministro da Saude, Marcelo Cas... https://t.co/WqiN1HjUBT",104,"709514873508462592"
"[32853,20481582]",993608964960145410,"Brigada de Combate ao Aedes aegypti treina brigadistas no Compaz. https://t.co/FqBA3H45AO",105,"993608964960145410"
"[32853,20481583]",986956457550721024,"se eu disser que ele ta com dengue no aniversario dele ces acredita?? https://t.co/EffX7tSRY6",106,"986956457550721024"
"[32853,20481584]",699315864122892288,"RT @g1: Morador do DF faz 'rap da dengue': 'Agora tome cuidado com Aedes pode cre' https://t.co/ySImQN4EfJ https://t.co/PJ5yJwrZJG",107,"699315864122892288"
"[32853,20481585]",997271726504464384,"RT @RafaelJulio03: Bad Lucifer ter acabado assim, 4 temporada ia ser Zika demais",108,"997271726504464384"
